,Tweets,Tweets_token,rating_description_str,lower,no_punc,stopwords_removed,pos_tags,wordnet_pos,lemmatized,tokenized
50,#USER# It all started when they were hording toilet paper. Now this ! Maybe they’ll eventually see the light of their ignorance! #URL#,"['#USER#', 'It', 'all', 'started', 'when', 'they', 'were', 'hording', 'toilet', 'paper.', 'Now', 'this', '!', 'Maybe', 'they will', 'eventually', 'see', 'the', 'light', 'of', 'their', 'ignorance!', '#URL#']",#USER# It all started when they were hording toilet paper. Now this ! Maybe they will eventually see the light of their ignorance! #URL#,"['#', 'user', '#', 'it', 'all', 'started', 'when', 'they', 'were', 'hording', 'toilet', 'paper', '.', 'now', 'this', '!', 'maybe', 'they', 'will', 'eventually', 'see', 'the', 'light', 'of', 'their', 'ignorance', '!', '#', 'url', '#']","['user', 'it', 'all', 'started', 'when', 'they', 'were', 'hording', 'toilet', 'paper', 'now', 'this', 'maybe', 'they', 'will', 'eventually', 'see', 'the', 'light', 'of', 'their', 'ignorance', 'url']","['all', 'started', 'when', 'they', 'were', 'hording', 'toilet', 'paper', 'now', 'this', 'maybe', 'they', 'will', 'eventually', 'see', 'light', 'their', 'ignorance']","[('all', 'DT'), ('started', 'VBD'), ('when', 'WRB'), ('they', 'PRP'), ('were', 'VBD'), ('hording', 'VBG'), ('toilet', 'JJ'), ('paper', 'NN'), ('now', 'RB'), ('this', 'DT'), ('maybe', 'NN'), ('they', 'PRP'), ('will', 'MD'), ('eventually', 'RB'), ('see', 'VB'), ('light', 'JJ'), ('their', 'PRP$'), ('ignorance', 'NN')]","[('all', 'n'), ('started', 'v'), ('when', 'n'), ('they', 'n'), ('were', 'v'), ('hording', 'v'), ('toilet', 'a'), ('paper', 'n'), ('now', 'r'), ('this', 'n'), ('maybe', 'n'), ('they', 'n'), ('will', 'n'), ('eventually', 'r'), ('see', 'v'), ('light', 'a'), ('their', 'n'), ('ignorance', 'n')]","['all', 'start', 'when', 'they', 'be', 'hording', 'toilet', 'paper', 'now', 'this', 'maybe', 'they', 'will', 'eventually', 'see', 'light', 'their', 'ignorance']","['#', 'USER', '#', 'It', 'all', 'started', 'when', 'they', 'were', 'hording', 'toilet', 'paper', '.', 'Now', 'this', '!', 'Maybe', 'they', 'will', 'eventually', 'see', 'the', 'light', 'of', 'their', 'ignorance', '!', '#', 'URL', '#']"
51,Why NOW Mitch? Your Machiavellian ways are too transparent! Trump lost and you lost too! #HASHTAG# #URL#,"['Why', 'NOW', 'Mitch?', 'Your', 'Machiavellian', 'ways', 'are', 'too', 'transparent!', 'Trump', 'lost', 'and', 'you', 'lost', 'too!', '#HASHTAG#', '#URL#']",Why NOW Mitch? Your Machiavellian ways are too transparent! Trump lost and you lost too! #HASHTAG# #URL#,"['why', 'now', 'mitch', '?', 'your', 'machiavellian', 'ways', 'are', 'too', 'transparent', '!', 'trump', 'lost', 'and', 'you', 'lost', 'too', '!', '#', 'hashtag', '#', '#', 'url', '#']","['why', 'now', 'mitch', 'your', 'machiavellian', 'ways', 'are', 'too', 'transparent', 'trump', 'lost', 'and', 'you', 'lost', 'too', 'hashtag', 'url']","['why', 'now', 'mitch', 'your', 'machiavellian', 'ways', 'are', 'too', 'transparent', 'trump', 'lost', 'and', 'you', 'lost', 'too', 'hashtag']","[('why', 'WRB'), ('now', 'RB'), ('mitch', 'VB'), ('your', 'PRP$'), ('machiavellian', 'JJ'), ('ways', 'NNS'), ('are', 'VBP'), ('too', 'RB'), ('transparent', 'JJ'), ('trump', 'NN'), ('lost', 'VBN'), ('and', 'CC'), ('you', 'PRP'), ('lost', 'VBD'), ('too', 'RB'), ('hashtag', 'JJ')]","[('why', 'n'), ('now', 'r'), ('mitch', 'v'), ('your', 'n'), ('machiavellian', 'a'), ('ways', 'n'), ('are', 'v'), ('too', 'r'), ('transparent', 'a'), ('trump', 'n'), ('lost', 'v'), ('and', 'n'), ('you', 'n'), ('lost', 'v'), ('too', 'r'), ('hashtag', 'a')]","['why', 'now', 'mitch', 'your', 'machiavellian', 'way', 'be', 'too', 'transparent', 'trump', 'lose', 'and', 'you', 'lose', 'too', 'hashtag']","['Why', 'NOW', 'Mitch', '?', 'Your', 'Machiavellian', 'ways', 'are', 'too', 'transparent', '!', 'Trump', 'lost', 'and', 'you', 'lost', 'too', '!', '#', 'HASHTAG', '#', '#', 'URL', '#']"
52,"#USER# Sadly, you, senator are an embarrassment to the name and to the Senate! #HASHTAG#","['#USER#', 'Sadly,', 'you,', 'senator', 'are', 'an', 'embarrassment', 'to', 'the', 'name', 'and', 'to', 'the', 'Senate!', '#HASHTAG#']","#USER# Sadly, you, senator are an embarrassment to the name and to the Senate! #HASHTAG#","['#', 'user', '#', 'sadly', ',', 'you', ',', 'senator', 'are', 'an', 'embarrassment', 'to', 'the', 'name', 'and', 'to', 'the', 'senate', '!', '#', 'hashtag', '#']","['user', 'sadly', 'you', 'senator', 'are', 'an', 'embarrassment', 'to', 'the', 'name', 'and', 'to', 'the', 'senate', 'hashtag']","['sadly', 'you', 'senator', 'are', 'embarrassment', 'to', 'name', 'and', 'to', 'senate', 'hashtag']","[('sadly', 'RB'), ('you', 'PRP'), ('senator', 'VBP'), ('are', 'VBP'), ('embarrassment', 'JJ'), ('to', 'TO'), ('name', 'VB'), ('and', 'CC'), ('to', 'TO'), ('senate', 'VB'), ('hashtag', 'NN')]","[('sadly', 'r'), ('you', 'n'), ('senator', 'v'), ('are', 'v'), ('embarrassment', 'a'), ('to', 'n'), ('name', 'v'), ('and', 'n'), ('to', 'n'), ('senate', 'v'), ('hashtag', 'n')]","['sadly', 'you', 'senator', 'be', 'embarrassment', 'to', 'name', 'and', 'to', 'senate', 'hashtag']","['#', 'USER', '#', 'Sadly', ',', 'you', ',', 'senator', 'are', 'an', 'embarrassment', 'to', 'the', 'name', 'and', 'to', 'the', 'Senate', '!', '#', 'HASHTAG', '#']"
53,#USER# He belongs to the biggest loser club of shortsighted Republicans! 😂😂😂😂,"['#USER#', 'He', 'belongs', 'to', 'the', 'biggest', 'loser', 'club', 'of', 'shortsighted', 'Republicans!', '😂😂😂😂']",#USER# He belongs to the biggest loser club of shortsighted Republicans! 😂😂😂😂,"['#', 'user', '#', 'he', 'belongs', 'to', 'the', 'biggest', 'loser', 'club', 'of', 'shortsighted', 'republicans', '!', '😂😂😂😂']","['user', 'he', 'belongs', 'to', 'the', 'biggest', 'loser', 'club', 'of', 'shortsighted', 'republicans', '😂😂😂😂']","['he', 'belongs', 'to', 'biggest', 'loser', 'club', 'shortsighted', 'republicans', '😂😂😂😂']","[('he', 'PRP'), ('belongs', 'VBZ'), ('to', 'TO'), ('biggest', 'JJS'), ('loser', 'NN'), ('club', 'NN'), ('shortsighted', 'VBD'), ('republicans', 'NNS'), ('😂😂😂😂', 'VBP')]","[('he', 'n'), ('belongs', 'v'), ('to', 'n'), ('biggest', 'a'), ('loser', 'n'), ('club', 'n'), ('shortsighted', 'v'), ('republicans', 'n'), ('😂😂😂😂', 'v')]","['he', 'belong', 'to', 'big', 'loser', 'club', 'shortsighted', 'republican', '😂😂😂😂']","['#', 'USER', '#', 'He', 'belongs', 'to', 'the', 'biggest', 'loser', 'club', 'of', 'shortsighted', 'Republicans', '!', '😂😂😂😂']"
54,#USER# Yes because you repeat year one 250 times. No real progress.,"['#USER#', 'Yes', 'because', 'you', 'repeat', 'year', 'one', '250', 'times.', 'No', 'real', 'progress.']",#USER# Yes because you repeat year one 250 times. No real progress.,"['#', 'user', '#', 'yes', 'because', 'you', 'repeat', 'year', 'one', '250', 'times', '.', 'no', 'real', 'progress', '.']","['user', 'yes', 'because', 'you', 'repeat', 'year', 'one', '250', 'times', 'no', 'real', 'progress']","['yes', 'because', 'you', 'repeat', 'year', 'one', '250', 'times', 'no', 'real', 'progress']","[('yes', 'RB'), ('because', 'IN'), ('you', 'PRP'), ('repeat', 'VBP'), ('year', 'NN'), ('one', 'CD'), ('250', 'CD'), ('times', 'NNS'), ('no', 'DT'), ('real', 'JJ'), ('progress', 'NN')]","[('yes', 'r'), ('because', 'n'), ('you', 'n'), ('repeat', 'v'), ('year', 'n'), ('one', 'n'), ('250', 'n'), ('times', 'n'), ('no', 'n'), ('real', 'a'), ('progress', 'n')]","['yes', 'because', 'you', 'repeat', 'year', 'one', '250', 'time', 'no', 'real', 'progress']","['#', 'USER', '#', 'Yes', 'because', 'you', 'repeat', 'year', 'one', '250', 'times', '.', 'No', 'real', 'progress', '.']"
55,#USER# #USER# He did not deserve this. Those insurrectionists deserve their lives to taken away.,"['#USER#', '#USER#', 'He', 'did', 'not', 'deserve', 'this.', 'Those', 'insurrectionists', 'deserve', 'their', 'lives', 'to', 'taken', 'away.']",#USER# #USER# He did not deserve this. Those insurrectionists deserve their lives to taken away.,"['#', 'user', '#', '#', 'user', '#', 'he', 'did', 'not', 'deserve', 'this', '.', 'those', 'insurrectionists', 'deserve', 'their', 'lives', 'to', 'taken', 'away', '.']","['user', 'user', 'he', 'did', 'not', 'deserve', 'this', 'those', 'insurrectionists', 'deserve', 'their', 'lives', 'to', 'taken', 'away']","['he', 'did', 'not', 'deserve', 'this', 'those', 'insurrectionists', 'deserve', 'their', 'lives', 'to', 'taken', 'away']","[('he', 'PRP'), ('did', 'VBD'), ('not', 'RB'), ('deserve', 'VB'), ('this', 'DT'), ('those', 'DT'), ('insurrectionists', 'NNS'), ('deserve', 'VBP'), ('their', 'PRP$'), ('lives', 'NNS'), ('to', 'TO'), ('taken', 'VBN'), ('away', 'RP')]","[('he', 'n'), ('did', 'v'), ('not', 'r'), ('deserve', 'v'), ('this', 'n'), ('those', 'n'), ('insurrectionists', 'n'), ('deserve', 'v'), ('their', 'n'), ('lives', 'n'), ('to', 'n'), ('taken', 'v'), ('away', 'r')]","['he', 'do', 'not', 'deserve', 'this', 'those', 'insurrectionist', 'deserve', 'their', 'life', 'to', 'take', 'away']","['#', 'USER', '#', '#', 'USER', '#', 'He', 'did', 'not', 'deserve', 'this', '.', 'Those', 'insurrectionists', 'deserve', 'their', 'lives', 'to', 'taken', 'away', '.']"
56,No...he was blond and blued and Santa is white! #HASHTAG# #HASHTAG# #URL#,"['No...he', 'was', 'blond', 'and', 'blued', 'and', 'Santa', 'is', 'white!', '#HASHTAG#', '#HASHTAG#', '#URL#']",No...he was blond and blued and Santa is white! #HASHTAG# #HASHTAG# #URL#,"['no', '...', 'he', 'was', 'blond', 'and', 'blued', 'and', 'santa', 'is', 'white', '!', '#', 'hashtag', '#', '#', 'hashtag', '#', '#', 'url', '#']","['no', '...', 'he', 'was', 'blond', 'and', 'blued', 'and', 'santa', 'is', 'white', 'hashtag', 'hashtag', 'url']","['no', '...', 'he', 'was', 'blond', 'and', 'blued', 'and', 'santa', 'white', 'hashtag', 'hashtag']","[('no', 'DT'), ('...', ':'), ('he', 'PRP'), ('was', 'VBD'), ('blond', 'NN'), ('and', 'CC'), ('blued', 'VBN'), ('and', 'CC'), ('santa', 'JJ'), ('white', 'JJ'), ('hashtag', 'NN'), ('hashtag', 'NN')]","[('no', 'n'), ('...', 'n'), ('he', 'n'), ('was', 'v'), ('blond', 'n'), ('and', 'n'), ('blued', 'v'), ('and', 'n'), ('santa', 'a'), ('white', 'a'), ('hashtag', 'n'), ('hashtag', 'n')]","['no', '...', 'he', 'be', 'blond', 'and', 'blue', 'and', 'santa', 'white', 'hashtag', 'hashtag']","['No', '...', 'he', 'was', 'blond', 'and', 'blued', 'and', 'Santa', 'is', 'white', '!', '#', 'HASHTAG', '#', '#', 'HASHTAG', '#', '#', 'URL', '#']"
57,Hmmmm....what...can...we...do...? #URL# #URL#,"['Hmmmm....what...can...we...do...?', '#URL#', '#URL#']",Hmmmm....what...can...we...do...? #URL# #URL#,"['hmmmm', '...', '.what', '...', 'can', '...', 'we', '...', 'do', '...', '?', '#', 'url', '#', '#', 'url', '#']","['hmmmm', '...', '.what', '...', 'can', '...', 'we', '...', 'do', '...', 'url', 'url']","['hmmmm', '...', '.what', '...', 'can', '...', 'we', '...', 'do', '...']","[('hmmmm', 'NN'), ('...', ':'), ('.what', 'WP'), ('...', ':'), ('can', 'MD'), ('...', ':'), ('we', 'PRP'), ('...', ':'), ('do', 'VBP'), ('...', ':')]","[('hmmmm', 'n'), ('...', 'n'), ('.what', 'n'), ('...', 'n'), ('can', 'n'), ('...', 'n'), ('we', 'n'), ('...', 'n'), ('do', 'v'), ('...', 'n')]","['hmmmm', '...', '.what', '...', 'can', '...', 'we', '...', 'do', '...']","['Hmmmm', '...', '.what', '...', 'can', '...', 'we', '...', 'do', '...', '?', '#', 'URL', '#', '#', 'URL', '#']"
58,#USER# This ego centric deplorable excuse for a human being should have that spotlight that he craves for be on him until he can’t tolerate the heat from the people that he denied a better lifestyle. He doesn’t deal a fatal blow to Biden…he did that to US.,"['#USER#', 'This', 'ego', 'centric', 'deplorable', 'excuse', 'for', 'a', 'human', 'being', 'should', 'have', 'that', 'spotlight', 'that', 'he', 'craves', 'for', 'be', 'on', 'him', 'until', 'he', 'cannot', 'tolerate', 'the', 'heat', 'from', 'the', 'people', 'that', 'he', 'denied', 'a', 'better', 'lifestyle.', 'He', 'does not', 'deal', 'a', 'fatal', 'blow', 'to', 'Biden…he', 'did', 'that', 'to', 'US.']",#USER# This ego centric deplorable excuse for a human being should have that spotlight that he craves for be on him until he cannot tolerate the heat from the people that he denied a better lifestyle. He does not deal a fatal blow to Biden…he did that to US.,"['#', 'user', '#', 'this', 'ego', 'centric', 'deplorable', 'excuse', 'for', 'a', 'human', 'being', 'should', 'have', 'that', 'spotlight', 'that', 'he', 'craves', 'for', 'be', 'on', 'him', 'until', 'he', 'can', 'not', 'tolerate', 'the', 'heat', 'from', 'the', 'people', 'that', 'he', 'denied', 'a', 'better', 'lifestyle', '.', 'he', 'does', 'not', 'deal', 'a', 'fatal', 'blow', 'to', 'biden…he', 'did', 'that', 'to', 'us', '.']","['user', 'this', 'ego', 'centric', 'deplorable', 'excuse', 'for', 'a', 'human', 'being', 'should', 'have', 'that', 'spotlight', 'that', 'he', 'craves', 'for', 'be', 'on', 'him', 'until', 'he', 'can', 'not', 'tolerate', 'the', 'heat', 'from', 'the', 'people', 'that', 'he', 'denied', 'a', 'better', 'lifestyle', 'he', 'does', 'not', 'deal', 'a', 'fatal', 'blow', 'to', 'biden…he', 'did', 'that', 'to', 'us']","['this', 'ego', 'centric', 'deplorable', 'excuse', 'human', 'being', 'should', 'that', 'spotlight', 'that', 'he', 'craves', 'be', 'on', 'him', 'until', 'he', 'can', 'not', 'tolerate', 'heat', 'from', 'people', 'that', 'he', 'denied', 'better', 'lifestyle', 'he', 'does', 'not', 'deal', 'fatal', 'blow', 'to', 'biden…he', 'did', 'that', 'to', 'us']","[('this', 'DT'), ('ego', 'NN'), ('centric', 'NN'), ('deplorable', 'JJ'), ('excuse', 'NN'), ('human', 'JJ'), ('being', 'VBG'), ('should', 'MD'), ('that', 'WDT'), ('spotlight', 'VBD'), ('that', 'IN'), ('he', 'PRP'), ('craves', 'VBZ'), ('be', 'VB'), ('on', 'IN'), ('him', 'PRP'), ('until', 'IN'), ('he', 'PRP'), ('can', 'MD'), ('not', 'RB'), ('tolerate', 'VB'), ('heat', 'NN'), ('from', 'IN'), ('people', 'NNS'), ('that', 'IN'), ('he', 'PRP'), ('denied', 'VBD'), ('better', 'RBR'), ('lifestyle', 'NN'), ('he', 'PRP'), ('does', 'VBZ'), ('not', 'RB'), ('deal', 'VB'), ('fatal', 'JJ'), ('blow', 'NN'), ('to', 'TO'), ('biden…he', 'VB'), ('did', 'VBD'), ('that', 'IN'), ('to', 'TO'), ('us', 'PRP')]","[('this', 'n'), ('ego', 'n'), ('centric', 'n'), ('deplorable', 'a'), ('excuse', 'n'), ('human', 'a'), ('being', 'v'), ('should', 'n'), ('that', 'n'), ('spotlight', 'v'), ('that', 'n'), ('he', 'n'), ('craves', 'v'), ('be', 'v'), ('on', 'n'), ('him', 'n'), ('until', 'n'), ('he', 'n'), ('can', 'n'), ('not', 'r'), ('tolerate', 'v'), ('heat', 'n'), ('from', 'n'), ('people', 'n'), ('that', 'n'), ('he', 'n'), ('denied', 'v'), ('better', 'r'), ('lifestyle', 'n'), ('he', 'n'), ('does', 'v'), ('not', 'r'), ('deal', 'v'), ('fatal', 'a'), ('blow', 'n'), ('to', 'n'), ('biden…he', 'v'), ('did', 'v'), ('that', 'n'), ('to', 'n'), ('us', 'n')]","['this', 'ego', 'centric', 'deplorable', 'excuse', 'human', 'be', 'should', 'that', 'spotlight', 'that', 'he', 'crave', 'be', 'on', 'him', 'until', 'he', 'can', 'not', 'tolerate', 'heat', 'from', 'people', 'that', 'he', 'deny', 'well', 'lifestyle', 'he', 'do', 'not', 'deal', 'fatal', 'blow', 'to', 'biden…he', 'do', 'that', 'to', 'u']","['#', 'USER', '#', 'This', 'ego', 'centric', 'deplorable', 'excuse', 'for', 'a', 'human', 'being', 'should', 'have', 'that', 'spotlight', 'that', 'he', 'craves', 'for', 'be', 'on', 'him', 'until', 'he', 'can', 'not', 'tolerate', 'the', 'heat', 'from', 'the', 'people', 'that', 'he', 'denied', 'a', 'better', 'lifestyle', '.', 'He', 'does', 'not', 'deal', 'a', 'fatal', 'blow', 'to', 'Biden…he', 'did', 'that', 'to', 'US', '.']"
59,#USER# Because God needs an ARMY of idiots to show their true colours. #HASHTAG#,"['#USER#', 'Because', 'God', 'needs', 'an', 'ARMY', 'of', 'idiots', 'to', 'show', 'their', 'true', 'colours.', '#HASHTAG#']",#USER# Because God needs an ARMY of idiots to show their true colours. #HASHTAG#,"['#', 'user', '#', 'because', 'god', 'needs', 'an', 'army', 'of', 'idiots', 'to', 'show', 'their', 'true', 'colours', '.', '#', 'hashtag', '#']","['user', 'because', 'god', 'needs', 'an', 'army', 'of', 'idiots', 'to', 'show', 'their', 'true', 'colours', 'hashtag']","['because', 'god', 'needs', 'army', 'idiots', 'to', 'show', 'their', 'true', 'colours', 'hashtag']","[('because', 'IN'), ('god', 'NN'), ('needs', 'VBZ'), ('army', 'JJ'), ('idiots', 'NNS'), ('to', 'TO'), ('show', 'VB'), ('their', 'PRP$'), ('true', 'JJ'), ('colours', 'NNS'), ('hashtag', 'NN')]","[('because', 'n'), ('god', 'n'), ('needs', 'v'), ('army', 'a'), ('idiots', 'n'), ('to', 'n'), ('show', 'v'), ('their', 'n'), ('true', 'a'), ('colours', 'n'), ('hashtag', 'n')]","['because', 'god', 'need', 'army', 'idiot', 'to', 'show', 'their', 'true', 'colour', 'hashtag']","['#', 'USER', '#', 'Because', 'God', 'needs', 'an', 'ARMY', 'of', 'idiots', 'to', 'show', 'their', 'true', 'colours', '.', '#', 'HASHTAG', '#']"
60,He has no foresight or wisdom to think about his future. Truly a very immature “man” at 74. January 20th can’t come soon enough. #URL#,"['He', 'has', 'no', 'foresight', 'or', 'wisdom', 'to', 'think', 'about', 'his', 'future.', 'Truly', 'a', 'very', 'immature', '“man”', 'at', '74.', 'January', '20th', 'cannot', 'come', 'soon', 'enough.', '#URL#']",He has no foresight or wisdom to think about his future. Truly a very immature “man” at 74. January 20th cannot come soon enough. #URL#,"['he', 'has', 'no', 'foresight', 'or', 'wisdom', 'to', 'think', 'about', 'his', 'future', '.', 'truly', 'a', 'very', 'immature', '“', 'man', '”', 'at', '74', '.', 'january', '20th', 'can', 'not', 'come', 'soon', 'enough', '.', '#', 'url', '#']","['he', 'has', 'no', 'foresight', 'or', 'wisdom', 'to', 'think', 'about', 'his', 'future', 'truly', 'a', 'very', 'immature', '“', 'man', '”', 'at', '74', 'january', '20th', 'can', 'not', 'come', 'soon', 'enough', 'url']","['he', 'no', 'foresight', 'wisdom', 'to', 'think', 'about', 'his', 'future', 'truly', 'very', 'immature', '“', 'man', '”', 'at', '74', 'january', '20th', 'can', 'not', 'come', 'soon', 'enough']","[('he', 'PRP'), ('no', 'DT'), ('foresight', 'JJ'), ('wisdom', 'NN'), ('to', 'TO'), ('think', 'VB'), ('about', 'IN'), ('his', 'PRP$'), ('future', 'NN'), ('truly', 'RB'), ('very', 'RB'), ('immature', 'JJ'), ('“', 'NNP'), ('man', 'NN'), ('”', 'NN'), ('at', 'IN'), ('74', 'CD'), ('january', 'JJ'), ('20th', 'CD'), ('can', 'MD'), ('not', 'RB'), ('come', 'VB'), ('soon', 'RB'), ('enough', 'RB')]","[('he', 'n'), ('no', 'n'), ('foresight', 'a'), ('wisdom', 'n'), ('to', 'n'), ('think', 'v'), ('about', 'n'), ('his', 'n'), ('future', 'n'), ('truly', 'r'), ('very', 'r'), ('immature', 'a'), ('“', 'n'), ('man', 'n'), ('”', 'n'), ('at', 'n'), ('74', 'n'), ('january', 'a'), ('20th', 'n'), ('can', 'n'), ('not', 'r'), ('come', 'v'), ('soon', 'r'), ('enough', 'r')]","['he', 'no', 'foresight', 'wisdom', 'to', 'think', 'about', 'his', 'future', 'truly', 'very', 'immature', '“', 'man', '”', 'at', '74', 'january', '20th', 'can', 'not', 'come', 'soon', 'enough']","['He', 'has', 'no', 'foresight', 'or', 'wisdom', 'to', 'think', 'about', 'his', 'future', '.', 'Truly', 'a', 'very', 'immature', '“', 'man', '”', 'at', '74', '.', 'January', '20th', 'can', 'not', 'come', 'soon', 'enough', '.', '#', 'URL', '#']"
61,#USER# Worst alternative reality performance by two forms of human shell. #HASHTAG#,"['#USER#', 'Worst', 'alternative', 'reality', 'performance', 'by', 'two', 'forms', 'of', 'human', 'she will.', '#HASHTAG#']",#USER# Worst alternative reality performance by two forms of human she will. #HASHTAG#,"['#', 'user', '#', 'worst', 'alternative', 'reality', 'performance', 'by', 'two', 'forms', 'of', 'human', 'she', 'will', '.', '#', 'hashtag', '#']","['user', 'worst', 'alternative', 'reality', 'performance', 'by', 'two', 'forms', 'of', 'human', 'she', 'will', 'hashtag']","['worst', 'alternative', 'reality', 'performance', 'by', 'two', 'forms', 'human', 'she', 'will', 'hashtag']","[('worst', 'RB'), ('alternative', 'JJ'), ('reality', 'NN'), ('performance', 'NN'), ('by', 'IN'), ('two', 'CD'), ('forms', 'NNS'), ('human', 'JJ'), ('she', 'PRP'), ('will', 'MD'), ('hashtag', 'VB')]","[('worst', 'r'), ('alternative', 'a'), ('reality', 'n'), ('performance', 'n'), ('by', 'n'), ('two', 'n'), ('forms', 'n'), ('human', 'a'), ('she', 'n'), ('will', 'n'), ('hashtag', 'v')]","['worst', 'alternative', 'reality', 'performance', 'by', 'two', 'form', 'human', 'she', 'will', 'hashtag']","['#', 'USER', '#', 'Worst', 'alternative', 'reality', 'performance', 'by', 'two', 'forms', 'of', 'human', 'she', 'will', '.', '#', 'HASHTAG', '#']"
62,Pssst...ahem...the mask goes over the nose! It’s not for a halfway thing. #HASHTAG# #URL#,"['Pssst...ahem...the', 'mask', 'goes', 'over', 'the', 'nose!', 'It is', 'not', 'for', 'a', 'halfway', 'thing.', '#HASHTAG#', '#URL#']",Pssst...ahem...the mask goes over the nose! It is not for a halfway thing. #HASHTAG# #URL#,"['pssst', '...', 'ahem', '...', 'the', 'mask', 'goes', 'over', 'the', 'nose', '!', 'it', 'is', 'not', 'for', 'a', 'halfway', 'thing', '.', '#', 'hashtag', '#', '#', 'url', '#']","['pssst', '...', 'ahem', '...', 'the', 'mask', 'goes', 'over', 'the', 'nose', 'it', 'is', 'not', 'for', 'a', 'halfway', 'thing', 'hashtag', 'url']","['pssst', '...', 'ahem', '...', 'mask', 'goes', 'over', 'nose', 'not', 'halfway', 'thing', 'hashtag']","[('pssst', 'NN'), ('...', ':'), ('ahem', 'NN'), ('...', ':'), ('mask', 'NN'), ('goes', 'VBZ'), ('over', 'IN'), ('nose', 'RB'), ('not', 'RB'), ('halfway', 'JJ'), ('thing', 'NN'), ('hashtag', 'NN')]","[('pssst', 'n'), ('...', 'n'), ('ahem', 'n'), ('...', 'n'), ('mask', 'n'), ('goes', 'v'), ('over', 'n'), ('nose', 'r'), ('not', 'r'), ('halfway', 'a'), ('thing', 'n'), ('hashtag', 'n')]","['pssst', '...', 'ahem', '...', 'mask', 'go', 'over', 'nose', 'not', 'halfway', 'thing', 'hashtag']","['Pssst', '...', 'ahem', '...', 'the', 'mask', 'goes', 'over', 'the', 'nose', '!', 'It', 'is', 'not', 'for', 'a', 'halfway', 'thing', '.', '#', 'HASHTAG', '#', '#', 'URL', '#']"
63,#USER# Maybe he’s a pro…but there could still be scratches on a new appliance. 🤔,"['#USER#', 'Maybe', 'he is', 'a', 'pro…but', 'there', 'could', 'still', 'be', 'scratches', 'on', 'a', 'new', 'appliance.', '🤔']",#USER# Maybe he is a pro…but there could still be scratches on a new appliance. 🤔,"['#', 'user', '#', 'maybe', 'he', 'is', 'a', 'pro…but', 'there', 'could', 'still', 'be', 'scratches', 'on', 'a', 'new', 'appliance', '.', '🤔']","['user', 'maybe', 'he', 'is', 'a', 'pro…but', 'there', 'could', 'still', 'be', 'scratches', 'on', 'a', 'new', 'appliance', '🤔']","['maybe', 'he', 'pro…but', 'there', 'could', 'still', 'be', 'scratches', 'on', 'new', 'appliance', '🤔']","[('maybe', 'RB'), ('he', 'PRP'), ('pro…but', 'VBZ'), ('there', 'RB'), ('could', 'MD'), ('still', 'RB'), ('be', 'VB'), ('scratches', 'NNS'), ('on', 'IN'), ('new', 'JJ'), ('appliance', 'NN'), ('🤔', 'NN')]","[('maybe', 'r'), ('he', 'n'), ('pro…but', 'v'), ('there', 'r'), ('could', 'n'), ('still', 'r'), ('be', 'v'), ('scratches', 'n'), ('on', 'n'), ('new', 'a'), ('appliance', 'n'), ('🤔', 'n')]","['maybe', 'he', 'pro…but', 'there', 'could', 'still', 'be', 'scratch', 'on', 'new', 'appliance', '🤔']","['#', 'USER', '#', 'Maybe', 'he', 'is', 'a', 'pro…but', 'there', 'could', 'still', 'be', 'scratches', 'on', 'a', 'new', 'appliance', '.', '🤔']"
